iter	Logloss
0	0.6759112105
1	0.6603827052
2	0.6463536282
3	0.6339553617
4	0.6227390993
5	0.6127110445
6	0.6039052818
7	0.5959567166
8	0.5891986925
9	0.5829870552
10	0.5778052724
11	0.572449643
12	0.567556577
13	0.5637668111
14	0.5594713641
15	0.555944265
16	0.5525756335
17	0.5491678396
18	0.5459818831
19	0.5431085605
20	0.5407400541
21	0.5382438703
22	0.5361276099
23	0.5337309788
24	0.5316218515
25	0.5295994129
26	0.5274521274
27	0.5256933611
28	0.5240108279
29	0.5221317771
30	0.5206881198
31	0.5189694835
32	0.5175700542
33	0.5162880899
34	0.5149688195
35	0.5136614881
36	0.5125136014
37	0.5111947808
38	0.5099665433
39	0.5088435989
40	0.5079512461
41	0.5069063484
42	0.5060194768
43	0.5051378987
44	0.5042745186
45	0.5034112816
46	0.5023617929
47	0.5015908449
48	0.5006588408
49	0.4996384944
50	0.4988928818
51	0.4980820189
52	0.4973931391
53	0.4965879057
54	0.4958256693
55	0.4951888285
56	0.494537258
57	0.4938927787
58	0.4933433992
59	0.4928163342
60	0.4922575216
61	0.4917079935
62	0.4911444729
63	0.4906013196
64	0.4900948033
65	0.4894499491
66	0.4889814528
67	0.4884809616
68	0.4879478868
69	0.487490228
70	0.4869905955
71	0.4866102254
72	0.4861624523
73	0.4857353246
74	0.4853692262
75	0.484997257
76	0.48452192
77	0.4841154742
78	0.4836371219
79	0.4832200403
80	0.4826846103
81	0.4823307652
82	0.4820199125
83	0.4816860263
84	0.4813333367
85	0.4809769686
86	0.4806944912
87	0.4802880725
88	0.4799848833
89	0.4796950289
90	0.4794097819
91	0.4791067625
92	0.4788115805
93	0.4785206877
94	0.4782100961
95	0.4779282633
96	0.4776595748
97	0.47742157
98	0.4770792937
99	0.4768231394
100	0.4765894317
101	0.4762815139
102	0.4760451955
103	0.4758329411
104	0.4755803478
105	0.4753005954
106	0.4750862186
107	0.4748784367
108	0.4745435099
109	0.4742739499
110	0.474042662
111	0.4738408619
112	0.4736472246
113	0.4734271499
114	0.4732177325
115	0.4729731709
116	0.4727851902
117	0.4725987313
118	0.4724198233
119	0.4722426891
120	0.4720528496
121	0.4718669658
122	0.4717025126
123	0.4714786783
124	0.4713037546
125	0.4711388855
126	0.4709991336
127	0.4708315712
128	0.4706619278
129	0.4705287659
130	0.4703622591
131	0.4701955229
132	0.4700271683
133	0.4698541597
134	0.4696739914
135	0.4695233285
136	0.4693552109
137	0.4692148936
138	0.4690824186
139	0.4689427472
140	0.4688186888
141	0.4686692793
142	0.4685079473
143	0.468382016
144	0.4682776704
145	0.4681374548
146	0.4679881643
147	0.4678087474
148	0.4677055942
149	0.4675656414
150	0.4674414264
151	0.4673301759
152	0.4672346987
153	0.4671101022
154	0.4669974941
155	0.4668802304
156	0.4667543846
157	0.4666013851
158	0.4664663951
159	0.4663326951
160	0.4662009157
161	0.4660535052
162	0.4659358574
163	0.4658229735
164	0.4656946309
165	0.4655568172
166	0.4654208206
167	0.4653216148
168	0.4652055851
169	0.4650651618
170	0.464975087
171	0.4648725888
172	0.4647631428
173	0.4646589749
174	0.4645467562
175	0.4644658862
176	0.4643670621
177	0.4642376021
178	0.4641240322
179	0.4640283369
180	0.4639421999
181	0.4638492862
182	0.4637269527
183	0.4636319315
184	0.4635403345
185	0.4634246258
186	0.4633309166
187	0.4632159686
188	0.4631090227
189	0.4630132641
190	0.4628718998
191	0.4627604376
192	0.4626537085
193	0.4625646712
194	0.4624737653
195	0.4623566913
196	0.4622167456
197	0.462115621
198	0.462003583
199	0.4619101747
200	0.4617825838
201	0.4616821095
202	0.4615874705
203	0.4614959838
204	0.4613964888
205	0.4613030844
206	0.4611917224
207	0.4610983027
208	0.4609987828
209	0.4608889377
210	0.4607907381
211	0.4607064653
212	0.4606136809
213	0.4605466567
214	0.4604320251
215	0.4603089379
216	0.4602291125
217	0.4601368078
218	0.4600195657
219	0.4599179258
220	0.4598288565
221	0.4597232472
222	0.4596196717
223	0.4595327546
224	0.4594115289
225	0.4592976843
226	0.4592075903
227	0.4591300533
228	0.4590448104
229	0.4589644904
230	0.4588701638
231	0.4587695419
232	0.4586618695
233	0.4585414753
234	0.4584552683
235	0.4583748284
236	0.458277193
237	0.4581457864
238	0.4580666876
239	0.4579862854
240	0.45791726
241	0.457807752
242	0.4577144563
243	0.4576482776
244	0.4575284669
245	0.4574239864
